"county","mean_PF","min_PF","max_PF","mean_IE","min_IE","max_IE","mean_SPF","min_SPF","max_SPF","mean_SFS","min_SFS","max_SFS","mean_SF","min_SF","max_SF","mean_SS","min_SS","max_SS","mean_TF","min_TF","max_TF","mean_IF","min_IF","max_IF","area_uncert"
"Effingham",1726.56683994255,1726.56683994255,1726.56683994255,1460.65565013289,1453.84057591045,1464.57016319355,1457.27582275833,1449.23629028537,1462.57481102591,1457.27582275833,1449.23629028537,1462.57481102591,1452.11567264318,1438.38614994074,1460.11501521487,1452.11567264318,1438.38614994074,1460.11501521487,61.9206083788527,31.3626723119869,111.565716193758,61.9206083788527,31.3626723119869,111.565716193758,1.14635924873234
"Fayette",6625.83434268504,6625.72526771294,6625.85615767946,6164.08799346713,6142.7836941101,6179.80624614671,5915.76921662905,5883.13190647967,5941.95956261566,5915.76921662905,5883.13190647967,5941.95956261566,5241.28474553546,5149.02462250648,5322.73704578765,5241.28474553546,5149.02462250648,5322.73704578765,840.014329951238,553.697406336232,1219.5065096882,840.014329951238,553.697406336232,1219.5065096882,1.10389347147418
"Ford",162.650197007779,162.650197007779,162.650197007779,135.964241297946,135.68208814413,136.058292349218,131.621707574013,129.332109686519,134.728304789637,131.621707574013,129.332109686519,134.728304789637,87.8498714878253,80.838619769046,95.4879252627866,87.8498714878253,80.838619769046,95.4879252627866,19.5087608872729,4.97883049237878,36.7534663337656,19.5087608872729,4.97883049237878,36.7534663337656,1.62938697230017
"Franklin",8853.59020645158,8853.59020645158,8853.59020645158,8473.53576068218,8421.45356957465,8510.76467505288,7975.71627025614,7787.50285317687,8143.18988516129,7975.71627025614,7787.50285317687,8143.18988516129,6170.97304442108,5765.91721830785,6654.1001740095,6170.97304442108,5765.91721830785,6654.1001740095,1182.8756659968,288.300306997286,2564.56379689305,1182.8756659968,288.300306997286,2564.56379689305,1.2430316070477
"Fulton",2799.45145284146,2799.45145284146,2799.45145284146,2365.84178966317,2314.74013824417,2406.71340216539,2309.50775129767,2241.2435708691,2370.18680363403,2309.50775129767,2241.2435708691,2370.18680363403,2059.76741191056,1940.76070417072,2161.49346806762,2059.76741191056,1940.76070417072,2161.49346806762,465.897884520542,207.415216845701,787.590037189102,465.897884520542,207.415216845701,787.590037189102,1.1329209088498
"Gallatin",5815.05330522067,5815.05330522067,5815.05330522067,5759.36266614302,5744.3734687433,5764.49879650097,5483.43248538262,5413.68487996726,5587.86091293296,5483.43248538262,5413.68487996726,5587.86091293296,4079.65343578443,3784.67932966709,4505.74684476716,4079.65343578443,3784.67932966709,4505.74684476716,1295.92609056589,512.191091510892,2314.28434355793,1295.92609056589,512.191091510892,2314.28434355793,1.10772331174397
"Greene",2776.28632740939,2776.28632740939,2776.28632740939,2396.59295042712,2375.70670217583,2415.48240864743,2375.97393436033,2351.5152430649,2400.38947677902,2375.97393436033,2351.5152430649,2400.38947677902,2113.29057821078,1990.46659450806,2267.85280700231,2113.29057821078,1990.46659450806,2267.85280700231,383.710221708736,183.768200579993,673.268651762816,383.710221708736,183.768200579993,673.268651762816,1.13215670876948
"Grundy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton",2452.92451548599,2452.92451548599,2452.92451548599,2256.6939658973,2223.12273503703,2282.67836521429,2243.21615148645,2207.87746270754,2270.66848983066,2243.21615148645,2207.87746270754,2270.66848983066,2153.20468929996,2095.86259260768,2222.03633909226,2153.20468929996,2095.86259260768,2222.03633909226,431.971232517423,75.1701514405668,1154.9922721891,431.971232517423,75.1701514405668,1154.9922721891,0.938579268850472
"Hancock",3664.90501461131,3664.90501461131,3664.90501461131,3342.54441084008,3288.41091473418,3383.13407973334,3308.5136980528,3249.40882941811,3354.12490011561,3308.5136980528,3249.40882941811,3354.12490011561,3000.29198354391,2861.18498972349,3103.33007656336,3000.29198354391,2861.18498972349,3103.33007656336,545.543666060656,219.696345720038,971.43151200213,545.543666060656,219.696345720038,971.43151200213,1.03968592578983
"Hardin",861.094692231425,861.021250792673,861.197469367678,825.948310878555,821.869585577738,827.361094129139,798.664085164689,792.655810373644,800.704525734793,798.664085164689,792.655810373644,800.704525734793,727.702778110797,711.660865027848,734.523117497643,727.702778110797,711.660865027848,734.523117497643,127.743980543323,81.7315729016742,196.63690769123,127.743980543323,81.7315729016742,196.63690769123,1.00776131924626
"Henderson",3198.26469692619,3194.60560447396,3199.629706359,3064.12206546076,3047.99718738702,3078.20031973054,2889.71316627426,2840.96687994148,2936.12124773328,2889.71316627426,2840.96687994148,2936.12124773328,1775.27360768645,1663.30750774505,1923.28180298143,1775.27360768645,1663.30750774505,1923.28180298143,878.979556983088,713.158087050429,1112.36267763455,878.979556983088,713.158087050429,1112.36267763455,1.30643813432545
"Henry",1264.71523963826,1264.71523963826,1264.71523963826,1129.36536193462,1124.29538527472,1131.16197412159,1112.79386752281,1104.0727391155,1117.83166151072,1112.79386752281,1104.0727391155,1117.83166151072,925.528027912606,881.940683141494,967.354234584136,925.528027912606,881.940683141494,967.354234584136,303.475289688366,193.578607126836,411.603589280275,303.475289688366,193.578607126836,411.603589280275,1.03858545712315
"Iroquois",2646.26712894225,2645.23676847864,2647.53429039989,2634.75989587152,2633.28772002491,2636.97222581772,2607.8615289177,2601.29695039583,2615.62642132253,2607.8615289177,2601.29695039583,2615.62642132253,1086.42277599212,1025.88205248223,1164.00521933907,1086.42277599212,1025.88205248223,1164.00521933907,214.062895949727,100.104512037904,363.488262443809,214.062895949727,100.104512037904,363.488262443809,2.23872721259129
"Jackson",6626.9316505672,6626.9316505672,6626.9316505672,6229.36461125381,6204.2534809793,6248.53245411051,6032.93841526567,5983.8485385435,6088.62197318569,6032.93841526567,5983.8485385435,6088.62197318569,4943.64193737986,4805.4465068576,5121.96572194415,4943.64193737986,4805.4465068576,5121.96572194415,1260.2340586075,882.831221957045,1982.88025989861,1260.2340586075,882.831221957045,1982.88025989861,1.08557570712819
"Jasper",2414.16901293573,2414.16901293573,2414.16901293573,2188.41996232912,2184.25500865271,2190.67914617756,2173.75196498059,2167.46890028377,2179.99515165932,2173.75196498059,2167.46890028377,2179.99515165932,2097.77033613309,2071.5607864242,2125.98782391908,2097.77033613309,2071.5607864242,2125.98782391908,203.317594410749,38.515397294559,501.191716477733,203.317594410749,38.515397294559,501.191716477733,1.05390536821125
"Jefferson",7307.37484959935,7278.55551955317,7350.78494519014,6804.86776807878,6693.30562289913,6896.47931558173,6580.09028249771,6433.58520152037,6705.12349401508,6580.09028249771,6433.58520152037,6705.12349401508,5863.58415024757,5586.01867313643,6144.00611005287,5863.58415024757,5586.01867313643,6144.00611005287,910.610814669191,259.583182081582,2017.56017642184,910.610814669191,259.583182081582,2017.56017642184,1.09093071251652
"Jersey",1647.18517028044,1647.18517028044,1647.18517028044,1297.36047863126,1285.20156634008,1307.52620743598,1236.5150018459,1222.19592869229,1249.52803087564,1236.5150018459,1222.19592869229,1249.52803087564,827.56855090749,799.324471242611,852.076293752277,827.56855090749,799.324471242611,852.076293752277,127.743659476398,37.5939873763687,264.727655968037,127.743659476398,37.5939873763687,264.727655968037,1.8360309960279
"Jo Daviess",831.240268526401,830.382209922976,831.526288060877,769.708491187331,753.270418513101,788.87243766911,750.424173267569,723.943318194048,782.442207704021,750.424173267569,723.943318194048,782.442207704021,236.604135853311,166.490309525825,308.869719230378,236.604135853311,166.490309525825,308.869719230378,100.600636955123,18.0125962022268,188.530551595034,100.600636955123,18.0125962022268,188.530551595034,3.08802561263873
"Johnson",2506.88136460832,2506.88136460832,2506.88136460832,2239.11971154734,2218.35853812499,2254.75347393966,2082.26344772001,2013.92750448081,2183.89123116875,2082.26344772001,2013.92750448081,2183.89123116875,1625.64874260272,1414.46960470033,1934.02104411721,1625.64874260272,1414.46960470033,1934.02104411721,411.960272810685,108.099000220863,880.045828929046,411.960272810685,108.099000220863,880.045828929046,1.28866774038997
"Kane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kankakee",1152.54826657716,1152.26589516541,1153.11300940065,1134.27108357195,1132.77392412952,1135.43166395758,1110.35341626032,1098.4815106416,1120.24822104495,1110.35341626032,1098.4815106416,1120.24822104495,457.325997524948,395.068186277816,516.459265375879,454.434640470565,390.481553378486,516.226620660132,285.003931848214,163.003075518017,407.444960241198,285.003931848214,163.003075518017,407.444960241198,1.90906294870172
"Kendall",676.149509101052,676.149509101052,676.149509101052,624.422162233281,620.725734878271,630.115846809808,602.775328974272,584.31575310119,616.36428219694,602.775328974272,584.31575310119,616.36428219694,389.162205691705,347.038158753915,434.449693222038,389.162205691705,347.038158753915,434.449693222038,79.4259636505814,21.120116386297,141.699331245243,79.4259636505814,21.120116386297,141.699331245243,1.53335431016442
"Knox",1233.4281241699,1232.47437035667,1233.74604210765,991.579179077507,980.544712313523,1000.58579798868,975.511108025475,960.44169623908,988.359430209065,975.511108025475,960.44169623908,988.359430209065,905.298418888242,866.415275380239,939.036601388722,905.001775032935,865.228699959012,939.036601388722,172.656505003963,35.5074691164486,359.5448167507,172.656505003963,35.5074691164486,359.5448167507,1.17212103714088
"Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LaSalle",2351.50104037524,2351.50104037524,2351.50104037524,2256.93476681812,2247.60593559521,2266.72316957759,2088.09476426189,2059.32037721984,2116.35859079899,2088.09476426189,2059.32037721984,2116.35859079899,1292.7201527995,1171.06660436876,1427.33345636893,1292.7201527995,1171.06660436876,1427.33345636893,286.992559021369,94.4040084990807,531.375795715527,286.992559021369,94.4040084990807,531.375795715527,1.59702660849141
"Lawrence",3996.88473476142,3996.88473476142,3996.88473476142,3917.5091164556,3898.3799887437,3931.65955698183,3858.45540418043,3828.58473987365,3880.17526479274,3858.45540418043,3828.58473987365,3880.17526479274,3617.89804679618,3535.98262409514,3678.66522797499,3617.89804679618,3535.98262409514,3678.66522797499,799.449121598358,592.63903659548,1066.65625026134,799.449121598358,592.63903659548,1066.65625026134,0.883782674858554
