"county","wetland_type","water_cutoff","mean","min","max"
"Bond","Freshwater Emergent Wetland","Seasonally Flooded",60.4752979656586,55.0412249526153,67.3514862269811
"Bond","Freshwater Emergent Wetland","Seasonally Flooded/Saturated",91.0900888765913,90.777855762946,91.2782242080794
"Bond","Freshwater Emergent Wetland","Seasonally Saturated",60.4752979656586,55.0412249526153,67.3514862269811
"Bond","Freshwater Emergent Wetland","Semipermanently Flooded",91.0900888765913,90.777855762946,91.2782242080794
"Bond","Freshwater Emergent Wetland","Temporary Flooded",36.6502024941765,23.2341741047673,53.1901288826638
"Bond","Freshwater Forested/Shrub Wetland","Intermittently Exposed",2456.8923566722,2456.8923566722,2456.8923566722
"Bond","Freshwater Forested/Shrub Wetland","Intermittently Flooded",157.371605109279,24.8929249597848,380.383529974686
"Bond","Freshwater Forested/Shrub Wetland","Permanently Flooded",2456.8923566722,2456.8923566722,2456.8923566722
"Bond","Freshwater Forested/Shrub Wetland","Seasonally Flooded",2394.091403797,2381.58332695299,2410.80590236507
"Bond","Freshwater Forested/Shrub Wetland","Seasonally Flooded/Saturated",2454.94035497763,2454.94035497763,2454.94035497763
"Bond","Freshwater Forested/Shrub Wetland","Seasonally Saturated",2394.091403797,2381.58332695299,2410.80590236507
"Bond","Freshwater Forested/Shrub Wetland","Semipermanently Flooded",2454.94035497763,2454.94035497763,2454.94035497763
"Bond","Freshwater Forested/Shrub Wetland","Temporary Flooded",157.371605109279,24.8929249597848,380.383529974686
"Bond","Freshwater Pond","Intermittently Exposed",75.5887891648759,41.9210486123455,96.5979237575966
"Bond","Freshwater Pond","Intermittently Flooded",65.7583434691655,26.7062305110608,88.8186523205155
"Bond","Freshwater Pond","Permanently Flooded",383.223057111476,383.223057111476,383.223057111476
"Bond","Freshwater Pond","Seasonally Flooded",65.7583434691655,26.7062305110608,88.8186523205155
"Bond","Freshwater Pond","Seasonally Flooded/Saturated",65.7583434691655,26.7062305110608,88.8186523205155
"Bond","Freshwater Pond","Seasonally Saturated",65.7583434691655,26.7062305110608,88.8186523205155
"Bond","Freshwater Pond","Semipermanently Flooded",65.7583434691655,26.7062305110608,88.8186523205155
"Bond","Freshwater Pond","Temporary Flooded",65.7583434691655,26.7062305110608,88.8186523205155
"Boone","Freshwater Emergent Wetland","Intermittently Exposed",627.157062770503,627.157062770503,627.157062770503
"Boone","Freshwater Emergent Wetland","Intermittently Flooded",108.751531893702,37.4848796176976,187.493165236262
"Boone","Freshwater Emergent Wetland","Permanently Flooded",627.157062770503,627.157062770503,627.157062770503
"Boone","Freshwater Emergent Wetland","Seasonally Flooded",374.352357069552,336.706386182024,415.9111248175
"Boone","Freshwater Emergent Wetland","Seasonally Flooded/Saturated",618.686824382851,617.018210234108,619.503417773848
"Boone","Freshwater Emergent Wetland","Seasonally Saturated",355.256874526728,313.754937268652,398.93850570728
"Boone","Freshwater Emergent Wetland","Semipermanently Flooded",618.686824382851,617.018210234108,619.503417773848
"Boone","Freshwater Emergent Wetland","Temporary Flooded",108.751531893702,37.4848796176976,187.493165236262
"Boone","Freshwater Forested/Shrub Wetland","Intermittently Exposed",440.994329665912,440.994329665912,440.994329665912
"Boone","Freshwater Forested/Shrub Wetland","Intermittently Flooded",41.1853614181523,10.312175675946,73.5920541179894
"Boone","Freshwater Forested/Shrub Wetland","Permanently Flooded",440.994329665912,440.994329665912,440.994329665912
"Boone","Freshwater Forested/Shrub Wetland","Seasonally Flooded",214.178406740077,192.807345759743,233.200272682381
"Boone","Freshwater Forested/Shrub Wetland","Seasonally Flooded/Saturated",440.994329665912,440.994329665912,440.994329665912
"Boone","Freshwater Forested/Shrub Wetland","Seasonally Saturated",214.178406740077,192.807345759743,233.200272682381
"Boone","Freshwater Forested/Shrub Wetland","Semipermanently Flooded",440.994329665912,440.994329665912,440.994329665912
"Boone","Freshwater Forested/Shrub Wetland","Temporary Flooded",41.1853614181523,10.312175675946,73.5920541179894
"Boone","Freshwater Pond","Intermittently Exposed",12.3410987272619,7.40838362334175,14.7170900990858
"Boone","Freshwater Pond","Intermittently Flooded",6.9827722102212,0.76573274350902,10.2398638494933
