"Intermittently Exposed","Intermittently Flooded","Permanently Flooded","Seasonally Flooded","Seasonally Flooded/Saturated","Seasonally Saturated","Semipermanently Flooded","Temporary Flooded"
-0.0059320343764379,-0.00122105441482351,-0.00445906966408653,-0.00385583216330652,-0.00203216430958653,-0.00357091627942731,-0.00507569396360603,-0.000998693340942131
-0.00288243646952136,0.0011523894650182,-0.00445608062551564,-0.00275578347474215,-0.00550289348100363,-0.00506507274585391,-0.00218397081519515,0.00154694539308356
-0.00343428850620695,-0.000184308397224787,-0.00462436969842459,-0.00169297449073598,-0.00405558113816343,-0.00421546664043,-0.00379621166134611,0.000607898420982152
-0.0044083532137222,-1.31663624246899e-05,-0.00469733231289056,-0.00494294235579432,-0.00346218825262307,-0.00288110713815351,-0.00424572609248767,-0.000287332582942263
-0.00519631428573332,-0.000356703404153418,-0.00452106577596354,-0.0025508823137852,-0.00440377369524916,-0.00530430559471679,-0.00315688967360776,0.000627776344430754
-0.00448744816150575,-0.000583110848882616,-0.00439524019159423,-0.00505169967431796,-0.0036268533374043,-0.00421823302240835,-0.00321043519864337,0.000474910773986505
-0.00605239783259338,-0.00118911760368623,-0.00309446905818939,-0.00458264933431008,-0.00279693431997208,-0.00478770029123732,-0.00482660002018812,7.2029912458586e-05
-0.00557606260804103,0.00283717848672184,-0.00609733388105588,-0.00271274536334345,-0.00497011814891101,-0.00395306151467655,-0.0024893999020747,-0.000468235653213684
-0.0034193507197932,-0.00195398312840657,-0.00688509037959169,-0.0046908935264634,-0.00211081218694512,-0.00476266639118545,-0.00532582842126933,0.000678106629490489
-0.00384587896497607,0.000937289329828519,-0.00326891586776443,-0.0016792112110966,-0.00551098188965586,-0.00408936590632828,-0.00192788403498829,-0.000888014971548573
-0.00405691844423879,-0.000371113265699355,-0.00587010190322827,-0.00551506709107938,-0.00312489978437006,-0.00350010430361806,-0.00633216402540659,-0.000330560685384353
-0.00461184737674607,0.000349199994077203,-0.00394573697670526,-0.00178997702805236,-0.00399594546391292,-0.00320306182106259,-0.000989527175782377,-0.000478134170546186
-0.00698056439341633,-0.00104776078890257,-0.00488687042826262,-0.00482074548558568,-0.00348710821725557,-0.00336691172973082,-0.0058677144139574,0.000944509734923487
-0.00570070565397061,0.00130839221563912,-0.00521709009565791,-0.00129241796438677,-0.00362964723955349,-0.00326951597955619,-0.00293444930699982,0.000125587760924463
-0.00187806529819187,-0.000946833936122421,-0.00398963285364716,-0.00463186183860708,-0.00333085669141835,-0.00332923184166781,-0.00480945741223411,-0.000251323565994265
-0.00555228308229796,-0.000153687031390726,-0.00571628187343291,-0.00323528276461627,-0.00439301190412074,-0.00277251698990361,-0.00376830692079507,-0.000241938644082958
-0.00571162402104214,0.000460813814094818,-0.00607640283184682,-0.0040314095010386,-0.00423787458225483,-0.00258126383220529,-0.00400931682601089,-0.000241239627386005
-0.00584497304322038,3.81314809243709e-05,-0.00600779631416794,-0.00429224951333372,-0.00416770205357217,-0.00230614741383897,-0.00415326311429633,-0.000436311645591862
-0.00255987672069951,-0.000531663262698643,-0.0031692152637807,-0.00247741133790096,-0.00368291067250837,-0.00444312695654998,-0.00326800897757224,0.000358307260304398
-0.00502160584607892,0.000522242062693677,-0.00595520170112835,-0.00427287393323623,-0.00437497933592747,-0.00348519534562399,-0.0038298451224293,-0.00061777961338721
-0.00533763820915436,0.00154357122263607,-0.0058202240222243,-0.00339016764989468,-0.003644260031347,-0.00355825639377057,-0.00320941604558796,0.000836512370167947
-0.00192656676536506,-0.000468843697165657,-0.00561480349482389,-0.00309783087100346,-0.00438434147711248,-0.00282327411412512,-0.00516247712323661,-0.000608398458632905
-0.00496730431212229,0.00148823358554443,-0.00286262052896081,-0.00337515954943726,-0.0048370198621345,-0.00469282783955462,-0.00462103039399479,-0.000116547175651492
-0.00366641351562695,0.000611580119431072,-0.00587941100160749,-0.00277678038309572,-0.00468892477128955,-0.00448490341211689,-0.00275030540613411,0.00146685354060573
-0.00384563153317541,-0.00100825420042978,-0.0035308853522514,-0.00278669375995921,-0.0043354903241604,-0.00208851430882658,-0.00428295499262364,-0.0012653957041169
-0.00386196567333672,0.00132293247565971,-0.00542324762973228,-0.00388845211928495,-0.00332321111006676,-0.00422768468172435,-0.0043350120575166,-0.000641283990999557
-0.00359436903270117,-0.00122534692232258,-0.00412976515725796,-0.00221524304315762,-0.00431060823962311,-0.00311277164261464,-0.00324386314162117,0.000711708909734194
-0.0047937414025278,0.00173701853202854,-0.00319362616110139,-0.00322250633557748,-0.0019290988561955,-0.00272997087248774,-0.00427432514430429,-0.000114989940063659
-0.00501955336339367,0.00188124408800474,-0.00367979504275063,-0.00295548738748935,-0.00304347902886963,-0.00329447694059075,-0.00385175172734757,-0.000332098227763559
