"Intermittently Exposed","Intermittently Flooded","Permanently Flooded","Seasonally Flooded","Seasonally Flooded/Saturated","Seasonally Saturated","Semipermanently Flooded","Temporary Flooded"
-0.003592338678742,-0.000323906079136092,-0.00626779488257124,-0.00447479193812072,-0.00276823936414567,-0.00447105167350528,-0.00475222814578576,-0.00168232421658816
-0.00322130178327243,0.000166680476663793,-0.00585209503762509,-0.00210338283895864,-0.00371197389238029,-0.00439001204577141,-0.00555294824591232,-0.00106547556427705
-0.0062143133048579,-0.000610426226190335,-0.00392471824497701,-0.00466334097251295,-0.00437412701754162,-0.003976973862074,-0.002873894263619,-7.20484424224825e-05
-0.00196446445569377,0.000447924480878454,-0.00541587515311413,-0.00180464367740136,-0.00276472159335491,-0.00242635123696297,-0.00482391635658158,0.000912113170934456
-0.00509254826688415,0.000119432698048016,-0.00494839153994913,-0.00501933426127572,-0.00397089533504431,-0.00397406194718467,-0.00360000547217676,-0.000602655524824105
-0.00258353201015226,-0.000209954573330185,-0.00392032665698083,-0.00103097834578461,-0.00438078741147021,-0.00299919399706478,-0.00409343456138244,-0.00127784958770629
-0.00509956999746587,-0.000295565730851686,-0.00590346534668116,-0.00514757088794057,-0.00325131589560218,-0.0039734138017103,-0.00523600152817896,-0.000446175043416407
-0.00136049305501136,-0.000148664349875191,-0.00325251008778649,-0.00256963650376568,-0.00441500034648869,-0.00405198100165761,-0.00379418754770463,1.63110023760765e-05
-0.00614304487369541,0.000219457713814628,-0.00530618679003249,-0.00530002719284976,-0.00393772300664185,-0.0043255551809671,-0.00550703181142495,-0.000322398944942671
-0.00434923036891596,-0.000271946925271441,-0.00323677383774494,-0.00101472960297712,-0.00427027749796834,-0.00183194008086849,-0.00243460252762105,0.000707304105454009
-0.00328836401928366,0.00020755451803343,-0.00672575543469918,-0.00484052999098184,-0.0035283073678139,-0.00452433587106453,-0.00467045557872222,-0.000300742525613589
-0.00430192373783737,-0.000498713384593772,-0.00379945324433373,-0.00233045843784128,-0.00421464771108235,-0.00452359988102163,-0.00235276106707424,-0.0010452714587766
-0.00421874281479112,-0.000472286227570196,-0.00498484563003569,-0.00403758560167144,-0.00364374992396708,-0.00190248070451599,-0.00514225978498082,0.00214413432920674
